NAME,Male_under_5E,Male_under_5M,Male_5_to_9E,Male_5_to_9M,Male_10_to_14E,Male_10_to_14M,Male_15_to_17E,Male_15_to_17M,Female_under_5E,Female_under_5M,Female_5_to_9E,Female_5_to_9M,Female_10_to_14E,Female_10_to_14M,Female_15_to_17E,Female_15_to_17M,Sex_By_Age_TotalE,Sex_By_Age_TotalM,Male_65_to_66E,Male_65_to_66M,Male_67_to_69E,Male_67_to_69M,Male_70_to_74E,Male_70_to_74M,Male_75_to_79E,Male_75_to_79M,Male_80_to_84E,Male_80_to_84M,Male_85_and_overE,Male_85_and_overM,Female_65_to_66E,Female_65_to_66M,Female_67_to_69E,Female_67_to_69M,Female_70_to_74E,Female_70_to_74M,Female_75_to_79E,Female_75_to_79M,Female_80_to_84E,Female_80_to_84M,Female_85_and_overE,Female_85_and_overM,Median_AgeE,Median_AgeM,AsianAloneE,AsianAloneM,BlackAloneE,BlackAloneM,GEO_ID,state,county,tract,block group,WhiteAloneE,WhiteAloneM,HispanicAloneE,HispanicAloneM,AmericanIndianAloneE,AmericanIndianAloneM,NativeHawaiianAloneE,NativeHawaiianAloneM,SomeOtherRaceAloneE,SomeOtherRaceAloneM,TwoorMoreRacesAloneE,TwoorMoreRacesAloneM,TwoorMoreRacesIncludingSomeotherRaceAloneE,TwoorMoreRacesIncludingSomeotherRaceAloneM,TwoorMoreRacesExcludingSomeotherRaceAloneE,TwoorMoreRacesExcludingSomeotherRaceAloneM,TotalRaceE,TotalRaceM,DroveAloneE,DroveAloneM,TotalTransportationE,TotalTransportationM,Drove_20_to_24E,Drove_20_to_24M,Drove_25_to_29E,Drove_25_to_29M,Drove_30_to_34E,Drove_30_to_34M,Drove_35_to_44E,Drove_35_to_44M,Drove_45_to_59E,Drove_45_to_59M,Drove_60_or_MoreE,Drove_60_or_MoreM,Kindergaten_MaleE,Kindergaten_MaleM,Grade_1_to_4_MaleE,Grade_1_to_4_MaleM,Grade_5_to_8_MaleE,Grade_5_to_8_MaleM,Grade_9_to_12_MaleE,Grade_9_to_12_MaleM,Kindergaten_FemaleE,Kindergaten_FemaleM,Grade_1_to_4_FemaleE,Grade_1_to_4_FemaleM,Grade_5_to_8_FemaleE,Grade_5_to_8_FemaleM,Grade_9_to_12_FemaleE,Grade_9_to_12_FemaleM,Kindergaten_TotalMaleE,Kindergaten_TotalMaleM,Grade_1_to_4_TotalMaleE,Grade_1_to_4_TotalMaleM,Grade_5_to_8_TotalMaleE,Grade_5_to_8_TotalMaleM,Grade_9_to_12_TotalMaleE,Grade_9_to_12_TotalMaleM,Kindergaten_TotalFemaleE,Kindergaten_TotalFemaleM,Grade_1_to_4_TotalFemaleE,Grade_1_to_4_TotalFemaleM,Grade_5_to_8_TotalFemaleE,Grade_5_to_8_TotalFemaleM,Grade_9_to_12_TotalFemaleE,Grade_9_to_12_TotalFemaleM,NoSchoolingE,NoSchoolingM,HighSchoolDiplomaE,HighSchoolDiplomaM,GEDorAlternativeE,GEDorAlternativeM,SomeCollegeLessThan1YearE,SomeCollegeLessThan1YearM,SomeCollege1orMoreYearsNoDegreeE,SomeCollege1orMoreYearsNoDegreeM,AssociateDegreeE,AssociateDegreeM,BachelorsDegreeE,BachelorsDegreeM,MastersDegreeE,MastersDegreeM,ProfessionalSchoolDegreeE,ProfessionalSchoolDegreeM,DoctorateDegreeE,DoctorateDegreeM,TotalEducationAttainmentE,TotalEducationAttainmentM,MedianHouseholdIncomeE,MedianHouseholdIncomeM,VeteranE,VeteranM,TotalVeteranE,TotalVeteranM,CivilianInLaborForceEmployedE,CivilianInLaborForceEmployedM,TotalInLaborForceE,TotalInLaborForceM,VacantE,VacantM,TotalOccupancyE,TotalOccupancyM,OccupiedE,OccupiedM,RenterOccupiedNoVehicleE,RenterOccupiedNoVehicleM,OwnerOccupiedNoVehicleE,OwnerOccupiedNoVehicleM,TotalVehicleByTenureE,TotalVehicleByTenureM,TotalGrossRentE,TotalGrossRentM,OwnerOccupiedE,OwnerOccupiedM,TotalOwnerOccupiedE,TotalOwnerOccupiedM,BroadbandE,BroadbandM,TotalBroadbandE,TotalBroadbandM
"Block Group 1, Census Tract 4.02, Mecklenburg County, North Carolina",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,958,246,0,13,8,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,25.0,1.0,36,29,51,49,1500000US371190004021,37,119,000402,1,830,239,15,16,0,13,0,13,0,13,26,41,0,13,26,41,958,246,600,195,852,217,132,81,54,52,51,46,48,53,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,25,41,0,13,0,13,54,47,16,18,203,102,142,84,59,50,0,13,499,137,78654.0,8155.0,36,44,958,246,943,244,943,244,106,105,694,144,588,126,80,68,0,13,588,126,588,126,0,13,588,126,541,125,588,126
"Block Group 2, Census Tract 4.02, Mecklenburg County, North Carolina",10,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1215,350,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26.0,2.0,10,15,54,57,1500000US371190004022,37,119,000402,2,1025,357,33,35,0,13,0,13,0,13,93,81,0,13,93,81,1215,350,535,144,798,158,96,54,40,40,33,41,23,21,31,38,9,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,43,36,18,21,526,113,148,76,9,14,10,16,754,138,85573.0,21688.0,29,40,1205,348,1104,358,1104,358,85,77,766,121,681,106,12,16,0,13,681,106,587,119,94,43,681,106,657,106,681,106
"Block Group 1, Census Tract 5.01, Mecklenburg County, North Carolina",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,348,187,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,28.0,2.0,0,13,0,13,1500000US371190005011,37,119,000501,1,260,170,72,79,0,13,0,13,16,26,0,13,0,13,0,13,348,187,271,136,338,186,67,76,16,26,0,13,0,13,0,13,60,93,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,56,68,28,32,0,13,80,68,102,98,37,58,0,13,303,176,74231.0,31923.0,39,61,348,187,338,186,338,186,158,103,376,126,218,98,0,13,0,13,218,98,201,96,17,29,218,98,202,95,218,98
"Block Group 2, Census Tract 5.01, Mecklenburg County, North Carolina",46,63,0,13,0,13,0,13,0,13,0,13,74,61,0,13,1773,323,20,44,0,13,0,13,0,13,0,13,0,13,54,44,0,13,0,13,0,13,0,13,0,13,25.0,1.0,7,14,725,186,1500000US371190005012,37,119,000501,2,956,245,55,44,3,6,0,13,0,13,27,34,0,13,27,34,1773,323,557,178,1068,239,225,82,60,65,14,22,7,15,10,21,18,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,74,61,0,13,14,22,6,7,116,88,10,12,6,12,426,157,227,125,36,50,18,31,967,196,123533.0,117921.0,21,26,1653,323,1217,259,1269,259,97,116,636,153,539,130,0,13,0,13,539,130,185,94,354,115,539,130,524,131,539,130
"Block Group 1, Census Tract 5.02, Mecklenburg County, North Carolina",0,13,0,13,0,13,0,13,115,101,222,278,0,13,0,13,1291,599,0,13,0,13,6,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,29.0,5.0,47,52,207,166,1500000US371190005021,37,119,000502,1,783,601,240,201,0,13,0,13,0,13,14,22,0,13,14,22,1291,599,496,213,829,320,134,79,70,74,71,59,0,13,0,13,12,19,0,13,0,13,0,13,0,13,0,13,222,278,0,13,0,13,0,13,0,13,0,13,0,13,0,13,222,278,0,13,0,13,6,14,13,22,0,13,129,151,25,28,34,34,333,175,197,102,54,55,0,13,803,330,78867.0,23562.0,22,29,954,319,881,314,881,314,184,125,895,186,711,167,63,56,0,13,711,167,626,167,85,49,711,167,642,166,711,167
"Block Group 1, Census Tract 5.03, Mecklenburg County, North Carolina",41,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1917,408,39,35,72,81,0,13,180,218,0,13,11,20,14,23,27,33,81,109,58,73,0,13,0,13,37.0,4.0,0,13,567,285,1500000US371190005031,37,119,000503,1,1083,358,161,159,0,13,0,13,0,13,106,87,54,85,52,85,1917,408,586,275,1073,273,131,130,42,50,91,108,72,87,35,54,92,93,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26,35,207,165,0,13,14,23,131,116,14,24,507,217,429,156,94,63,0,13,1675,385,84458.0,15378.0,233,210,1876,408,1317,277,1317,277,62,96,1127,178,1065,174,253,109,49,74,1065,174,586,124,479,157,1065,174,657,164,1065,174
"Block Group 2, Census Tract 5.03, Mecklenburg County, North Carolina",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,154,101,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,37.0,9.0,0,13,31,33,1500000US371190005032,37,119,000503,2,123,86,0,13,0,13,0,13,0,13,0,13,0,13,0,13,154,101,63,52,131,107,14,22,0,13,19,30,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,4,7,0,13,1,3,25,37,20,30,49,44,49,81,0,13,0,13,154,101,,,1,3,154,101,131,107,151,101,46,68,142,86,96,58,0,13,0,13,96,58,32,37,64,53,96,58,96,58,96,58
"Block Group 1, Census Tract 6, Mecklenburg County, North Carolina",62,52,82,53,24,30,9,16,88,103,137,99,47,43,9,15,1629,360,0,13,5,8,13,22,0,13,0,13,0,13,0,13,2,9,58,45,30,29,0,13,10,16,26.0,1.0,92,102,797,303,1500000US371190006001,37,119,000600,1,640,162,44,61,0,13,0,13,0,13,56,73,0,13,56,73,1629,360,467,139,767,208,108,67,21,25,54,39,8,13,21,23,8,12,0,13,9,14,15,26,0,13,0,13,0,13,0,13,9,15,0,13,52,47,24,30,9,16,0,13,81,66,38,46,18,19,0,13,127,97,24,32,35,29,167,86,27,23,396,145,91,57,43,45,9,14,1004,195,42988.0,11093.0,54,47,1171,246,893,222,917,223,147,85,952,144,805,149,90,49,0,13,805,149,698,131,107,57,805,149,518,143,805,149
"Block Group 2, Census Tract 6, Mecklenburg County, North Carolina",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,510,161,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,29.0,3.0,93,68,85,52,1500000US371190006002,37,119,000600,2,299,143,10,19,0,13,0,13,11,17,12,16,0,13,12,16,510,161,177,89,348,146,83,65,0,13,34,34,0,13,2,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,15,29,31,9,19,0,13,52,53,19,27,160,71,64,36,24,30,0,13,394,111,78036.0,13969.0,28,26,510,161,404,150,404,150,113,74,395,110,282,89,89,70,0,13,282,89,282,89,0,13,282,89,268,87,282,89
"Block Group 3, Census Tract 6, Mecklenburg County, North Carolina",0,13,0,13,20,30,0,13,10,16,20,32,0,13,0,13,820,304,7,13,0,13,8,16,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,30.0,2.0,5,7,281,135,1500000US371190006003,37,119,000600,3,462,249,42,41,0,13,0,13,0,13,30,36,0,13,30,36,820,304,452,193,586,217,14,22,7,12,9,14,10,16,41,52,55,46,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,15,10,15,0,13,20,32,0,13,0,13,0,13,35,40,0,13,7,13,60,49,39,38,301,153,100,72,143,145,5,7,698,287,97143.0,38977.0,0,13,770,304,621,224,714,292,39,44,493,136,454,134,0,13,0,13,454,134,206,78,248,129,454,134,445,135,454,134
"Block Group 1, Census Tract 7, Mecklenburg County, North Carolina",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,622,172,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,31.0,1.0,26,33,136,141,1500000US371190007001,37,119,000700,1,422,131,38,30,0,13,0,13,0,13,0,13,0,13,0,13,622,172,371,154,455,152,63,53,11,12,30,27,42,52,13,18,4,6,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,88,86,0,13,0,13,62,60,50,42,233,86,132,87,5,9,0,13,570,171,76310.0,24127.0,46,40,622,172,609,172,612,171,55,50,481,109,426,106,4,6,0,13,426,106,389,106,37,29,426,106,368,97,426,106
"Block Group 2, Census Tract 7, Mecklenburg County, North Carolina",0,13,0,13,26,31,14,16,0,13,0,13,0,13,0,13,437,68,12,15,0,13,13,15,0,13,0,13,0,13,11,14,13,14,0,13,0,13,0,13,0,13,44.0,20.0,39,36,250,45,1500000US371190007002,37,119,000700,2,126,51,9,12,13,20,0,13,0,13,0,13,0,13,0,13,437,68,118,50,139,55,4,7,4,6,0,13,29,28,0,13,0,13,0,13,0,13,13,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26,31,14,16,0,13,0,13,0,13,0,13,26,29,78,53,12,15,19,28,74,51,21,23,50,33,18,15,21,20,0,13,342,75,,,31,25,397,77,187,66,187,66,38,41,267,69,229,56,15,22,40,34,229,56,119,49,110,31,229,56,114,36,229,56
"Block Group 1, Census Tract 8, Mecklenburg County, North Carolina",80,75,112,106,12,12,26,27,59,49,18,26,24,38,17,25,2140,513,19,29,50,67,10,15,0,13,0,13,0,13,101,121,0,13,60,47,14,16,0,13,10,15,37.0,3.0,65,88,1357,471,1500000US371190008001,37,119,000800,1,509,180,28,26,0,13,135,106,0,13,46,58,9,14,37,57,2140,513,786,215,1086,227,253,110,67,53,141,78,39,25,31,25,52,62,0,13,0,13,0,13,0,13,0,13,0,13,0,13,17,27,0,13,98,103,0,13,38,27,0,13,18,26,24,38,39,40,9,13,508,180,87,119,139,67,210,105,55,49,315,146,67,54,16,18,18,22,1641,417,45213.0,18495.0,69,69,1792,432,1184,254,1370,284,148,67,927,202,779,198,33,26,28,30,779,198,358,140,421,160,779,198,537,163,779,198
"Block Group 2, Census Tract 8, Mecklenburg County, North Carolina",44,47,44,35,85,69,31,38,37,31,65,56,56,50,41,42,984,252,0,13,5,9,8,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,27.0,3.0,6,10,811,255,1500000US371190008002,37,119,000800,2,125,85,12,20,0,13,0,13,0,13,30,35,0,13,30,35,984,252,298,104,405,130,42,38,70,55,107,67,0,13,20,25,18,27,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,18,32,30,74,67,42,42,12,20,52,52,33,34,52,47,12,24,153,84,20,24,15,18,82,48,12,25,143,70,76,61,0,13,0,13,536,128,40676.0,2722.0,38,41,581,134,429,129,439,126,27,32,409,85,382,93,53,48,0,13,382,93,327,88,55,45,382,93,265,82,382,93
